Asset Name;Asset Description;BrandSubbrand;Created;Copyright;Tags;Path to Assets;Archived;New Filename;fileextension;group;clientteam;assettype;assetsubtype;year;campaign;productgroup;product;productsize;productsubtype;productgender;numberofpeople;person;teammarks;gender;shottype;sport;assetstatus;market;platformrights;jobid;No Tags;No Date
GAT_Gx_Black_Background;;VML;2015-11-20;;;Desktop/_To Bynder/Graphics/Backgrounds/GAT_Gx_Black_Background.psd;0;GAT_Gx_Black_Background.psd;;PepsiCo;Gatorade;;;2015;;Perform;;;;;;;;;;;;;;;!!!No Tags Found!!!;
LOC_28ozHero;;VML;2014-03-07;;;Desktop/_To Bynder/Graphics/League of Captains/LOC_28ozHero.psd;0;LOC_28ozHero.psd;;PepsiCo;Gatorade;;;2014;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GATO-EFFICACY-brushTYPE-SSU-170127;;VML;2017-01-27;;;Desktop/_To Bynder/Graphics/Logos/Every Ounce Counts/GATO-EFFICACY-brushTYPE-SSU-170127.ai;0;GATO-EFFICACY-brushTYPE-SSU-170127.ai;;PepsiCo;Gatorade;;;2017;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GATO-EFFICACY-brushTYPE-SSU-horiz;;VML;2017-01-27;;;Desktop/_To Bynder/Graphics/Logos/Every Ounce Counts/GATO-EFFICACY-brushTYPE-SSU-horiz.ai;0;GATO-EFFICACY-brushTYPE-SSU-horiz.ai;;PepsiCo;Gatorade;;;2017;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GATO-TYPE-everyOunce-170110;;VML;2012-01-01;;;Desktop/_To Bynder/Graphics/Logos/Every Ounce Counts/GATO-TYPE-everyOunce-170110.ai;0;GATO-TYPE-everyOunce-170110.ai;;PepsiCo;Gatorade;;;2012;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;Set to Default Date: 2012-01-01
G_FLOW_Logo_Lockup;;VML;2016-09-29;;;Desktop/_To Bynder/Graphics/Logos/Flow/G_FLOW_Logo_Lockup.ai;0;G_FLOW_Logo_Lockup.ai;;PepsiCo;Gatorade;;;2016;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GOrganic_877_Horizontal;;VML;2017-04-26;;;Desktop/_To Bynder/Graphics/Logos/G Organic/GOrganic_877_Horizontal.ai;0;GOrganic_877_Horizontal.ai;;PepsiCo;Gatorade;;;2017;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GOrganic_877_Stacked;;VML;2017-04-26;;;Desktop/_To Bynder/Graphics/Logos/G Organic/GOrganic_877_Stacked.ai;0;GOrganic_877_Stacked.ai;;PepsiCo;Gatorade;;;2017;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GOrganic_877_Vertical;;VML;2017-04-26;;;Desktop/_To Bynder/Graphics/Logos/G Organic/GOrganic_877_Vertical.ai;0;GOrganic_877_Vertical.ai;;PepsiCo;Gatorade;;;2017;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
GOrganic_KO_Horizontal;;VML;2017-04-26;;;Desktop/_To Bynder/Graphics/Logos/G Organic/GOrganic_KO_Horizontal.ai;0;GOrganic_KO_Horizontal.ai;;PepsiCo;Gatorade;;;2017;;;;;;;;;;;;;;;;;!!!No Tags Found!!!;
